species,decimalLongitude,decimalLatitude,country
Psittacus erithacus,32.403148,0.196396,Uganda
Psittacus erithacus,30.059439,0.831988,Uganda
Psittacus erithacus,30.41467,0.425772,Uganda
Psittacus erithacus,30.413345,0.400515,Uganda
Psittacus erithacus,31.539392,1.692297,Uganda
Psittacus erithacus,30.416666,0.4,Uganda
Psittacus erithacus,9.336617,-0.073737,Gabon
Psittacus erithacus,33.012413,0.388192,Uganda
Psittacus erithacus,30.407465,0.420513,Uganda
Psittacus erithacus,30.404854,0.416793,Uganda
Psittacus erithacus,31.58226,1.731319,Uganda
Psittacus erithacus,7.383683,1.670157,Sao Tome and Principe
Psittacus erithacus,30.412542,0.425309,Uganda
Psittacus erithacus,30.407305,0.412758,Uganda
Psittacus erithacus,-2.594147,5.294725,Ghana
Psittacus erithacus,29.616524,-0.986446,Uganda
Psittacus erithacus,32.297787,0.208633,Uganda
Psittacus erithacus,7.382861,1.670012,Sao Tome and Principe
Psittacus erithacus,7.400116,1.688192,Sao Tome and Principe
Psittacus erithacus,11.635901,4.359887,Cameroon
Psittacus erithacus,30.161644,0.824804,Uganda
Psittacus erithacus,30.547743,0.479935,Uganda
Psittacus erithacus,30.413446,0.399191,Uganda
Psittacus erithacus,7.411234,1.624288,Sao Tome and Principe
Psittacus erithacus,30.401407,0.421518,Uganda
Psittacus erithacus,7.409163,1.621775,Sao Tome and Principe
Psittacus erithacus,11.592504,-0.10114,Gabon
Psittacus erithacus,32.28016,-0.317797,Uganda
Psittacus erithacus,-3.737939,5.199609,Côte d’Ivoire
Psittacus erithacus,7.422383,1.638861,Sao Tome and Principe
Psittacus erithacus,30.41192,0.402401,Uganda
Psittacus erithacus,30.412022,0.401462,Uganda
Psittacus erithacus,7.369431,1.617895,Sao Tome and Principe
Psittacus erithacus,7.40286,1.601901,Sao Tome and Principe
Psittacus erithacus,12.506951,-5.323484,Angola
Psittacus erithacus,7.439896,10.473259,Nigeria
Psittacus erithacus,-0.527119,6.229311,Ghana
Psittacus erithacus,32.275887,1.406215,Uganda
Psittacus erithacus,12.612083,-0.849213,Gabon
Psittacus erithacus,11.768152,-0.369285,Gabon
Psittacus erithacus,30.410147,0.390191,Uganda
Psittacus erithacus,30.389675,0.486188,Uganda
Psittacus erithacus,5.12455,6.375417,Nigeria
Psittacus erithacus,9.57952,0.600976,Gabon
Psittacus erithacus,32.375423,0.029127,Uganda
Psittacus erithacus,12.949798,0.615812,Gabon
Psittacus erithacus,8.720424,-0.688191,Gabon
Psittacus erithacus,13.186296,0.826903,Gabon
Psittacus erithacus,9.424814,-1.716821,Gabon
Psittacus erithacus,32.82985,0.360344,Uganda
